GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-2.15E-06,-2.92E-02,-3.64E-05,2.75E-05,9.37E-04,1.37E-03,-2.63E-03,-2.89E-03,5.38E-04
-2.16E-06,-2.49E-02,-3.37E-05,2.89E-05,-3.74E-03,1.34E-03,-3.50E-03,-1.48E-02,5.53E-04
-2.18E-06,-1.76E-02,-3.26E-05,3.57E-05,-5.70E-03,1.31E-03,-8.79E-03,5.21E-02,5.77E-04
-2.19E-06,-7.57E-03,-3.33E-05,3.79E-05,-1.45E-03,1.28E-03,-1.22E-02,4.50E-02,6.01E-04
-2.16E-06,4.38E-03,-3.70E-05,3.12E-05,2.61E-03,1.25E-03,-1.06E-02,-9.33E-02,6.24E-04
-2.10E-06,1.74E-02,-4.17E-05,2.73E-05,2.29E-03,1.19E-03,-4.46E-03,-4.95E-02,6.49E-04
-2.02E-06,3.04E-02,-4.48E-05,3.15E-05,2.83E-03,1.10E-03,1.18E-03,4.54E-02,6.86E-04
-1.92E-06,4.23E-02,-4.58E-05,3.29E-05,3.10E-03,9.77E-04,-1.08E-04,-3.88E-02,7.44E-04
-1.80E-06,5.19E-02,-4.64E-05,2.82E-05,2.86E-03,8.10E-04,-9.02E-03,7.75E-02,8.29E-04
-1.71E-06,5.79E-02,-4.65E-05,2.34E-05,2.13E-03,6.14E-04,-1.29E-02,4.78E-03,9.40E-04
-1.68E-06,5.95E-02,-4.45E-05,2.42E-05,2.81E-03,4.25E-04,-3.94E-03,-1.72E-02,1.07E-03
-1.68E-06,5.55E-02,-3.88E-05,2.54E-05,1.37E-03,2.53E-04,8.71E-03,1.96E-02,1.19E-03
-1.71E-06,4.58E-02,-2.81E-05,2.75E-05,1.21E-03,7.77E-05,2.23E-02,-7.17E-02,1.28E-03
-1.74E-06,3.07E-02,-1.37E-05,3.19E-05,-9.55E-04,-1.05E-04,3.82E-02,-4.56E-02,1.33E-03
-1.77E-06,1.11E-02,3.19E-06,3.85E-05,-2.37E-03,-2.75E-04,5.19E-02,2.18E-02,1.36E-03
-1.77E-06,-1.16E-02,2.16E-05,4.12E-05,-1.87E-03,-4.30E-04,6.38E-02,1.82E-02,1.38E-03
